Region/Country/Economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Georgia,16.9,13.4,7.4,5.2,4.7,4.8,5.3,5.9,6.1,6.2,6.4,6.7,7,7.8,8.3,9.1,9.9,11.1,11.4,11,11.6,12.5,13.3,13.7,14.4,14.8
Gibraltar,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.9,0.9,1,1,1,1,1.1,1.1,1.1,1,1.1,1.1,1.1,1.1,1.1,1.2
Kazakhstan,96.3,85.7,81.2,73.7,64.4,59.1,59.4,60.4,59.3,60.9,66.9,75.9,83.3,91.1,99.8,109.5,121.2,132,136.3,138,148,159,166.6,176.6,184.1,186.3
Kosovo,..,..,..,..,..,..,..,..,..,..,3.3,4.1,4.1,4.4,4.5,4.7,5,5.3,5.5,5.6,5.8,6.1,6.3,6.5,6.6,6.8
Kyrgyzstan,4.8,4.4,3.8,3.2,2.6,2.4,2.6,2.9,2.9,3,3.2,3.4,3.4,3.6,3.9,3.9,4,4.3,4.7,4.8,4.8,5.1,5.1,5.6,5.9,6.1
Lithuania,27.1,25.5,21.8,19.3,19.7,19.3,20.3,22,23.6,23.4,24.3,25.9,27.6,30.5,32.5,35,37.6,41.8,42.9,36.5,37.1,39.4,40.9,42.3,43.8,44.6
Malta,4.3,4.5,4.7,5,5.2,5.6,5.8,6.1,6.4,6.7,7.1,7.2,7.4,7.6,7.6,7.9,8.1,8.4,8.7,8.4,8.7,8.9,9.2,9.6,9.9,10.5
Republic of Moldova,9.9,8.3,5.9,5.8,4,4,3.8,3.8,3.6,3.5,3.5,3.7,4,4.3,4.6,5,5.2,5.4,5.8,5.4,5.8,6.2,6.2,6.7,7.1,7
Montenegro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.3,3.6,4,4.3,4,4.1,4.3,4.2,4.3,4.4,4.5
Romania,124,108,98.5,100,104,111.4,115.7,110.1,107.8,107.4,110,116.1,122.2,128.9,139.7,145.5,157.2,168,182.2,169.4,168,169.8,170.9,176.9,182.3,189
Russian Federation,1509.3,1433.2,1224.9,1118.7,978.1,937.6,903.8,916.2,867.3,922.3,1015,1066.7,1117.3,1198.8,1284.8,1366.7,1478.2,1604.3,1688.5,1556.5,1626.6,1695.9,1755.6,1778.1,1790.6,1723.9
Serbia,24.6,21.7,21.2,22.1,22.7,24,24.6,26.4,27,23.8,25.6,26.9,28.8,30.1,32.8,34.6,36.3,38.4,40.5,39.2,39.5,40,39.6,40.6,39.9,40.2
Tajikistan,6.8,6.3,4.5,3.7,2.9,2.6,2.1,2.2,2.3,2.4,2.6,2.8,3.1,3.5,3.8,4.1,4.4,4.7,5.1,5.3,5.6,6.1,6.5,7,7.5,7.9
Turkmenistan,13.7,13.1,11.1,11.3,9.3,8.6,9.2,8.2,8.8,10.2,10.8,11.2,11.3,11.6,12.2,13.8,15.3,17,19.5,20.7,22.6,25.9,28.8,31.7,35,37.3
Ukraine,205.8,188.5,170.2,146,112.5,98.8,88.9,86.2,84.6,84.4,89.4,97.6,102.7,112.4,126,129.4,138.8,149.8,153.2,130.5,136,143.4,143.8,143.8,134.3,121.1
Uzbekistan,20.5,20.4,18.1,17.7,16.7,16.6,16.9,17.8,18.5,19.3,20,20.9,21.7,22.6,24.4,26.1,28,30.8,33.5,36.3,39.3,42.6,46.1,49.8,53.8,58.1
Former Soviet Union (if no detail),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Former Yugoslavia (if no detail),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Algeria,92,90.9,92.5,90.6,89.8,93.2,97,98.1,103.1,106.4,110.4,113.7,120.1,128.8,134.3,142.3,144.6,149.5,153.1,155.6,161.2,165.9,171.5,176.2,182.9,189.8
Angola,32,31.6,29.5,22.2,23,25.3,28.2,30.4,32.5,33.5,34.5,36,33.5,35.3,39.1,46.2,55.8,68.4,77.9,79.8,82.5,85.7,90.1,96.3,100.9,103.9
Benin,3,3.2,3.3,3.4,3.5,3.7,3.9,4.1,4.3,4.5,4.8,5,5.3,5.4,5.7,5.8,6,6.4,6.7,6.8,7,7.2,7.5,8.1,8.6,8.8
Botswana,5.3,5.7,5.9,6,6.2,6.6,7,7.6,7.7,8.4,8.6,8.6,9.1,9.5,9.8,10.2,11.1,12,12.8,11.8,12.8,13.6,14.2,15.6,16.1,16
Cameroon,14.9,14.3,13.9,12.8,13,13.6,14.2,15,15.7,16.4,17.1,17.8,18.5,19.3,20,20.5,21.1,21.8,22.4,22.9,23.6,24.6,25.7,27.2,28.8,30.4
Congo,6.6,6.8,7,6.9,6.5,6.8,7.1,7,7.3,7.1,7.6,7.9,8.3,8.3,8.6,9.3,9.9,9.7,10.3,11,12,12.4,12.9,13.3,14.2,14.6
Côte d'Ivoire,17.8,17.8,17.7,17.7,17.8,19.1,20.6,21.4,22.4,22.8,22.3,22.3,22,21.7,21.9,22.3,22.6,23,23.6,24.4,24.9,23.8,26.3,28.7,31.1,34
Dem. Rep. of Congo,23.1,21.2,19,16.4,15.8,15.9,15.7,14.8,14.6,14,13,12.7,13.1,13.8,14.8,15.7,16.5,17.5,18.6,19.2,20.5,21.9,23.5,25.5,27.8,29.7
Egypt,89.6,90.5,94.6,97.3,101.2,105.9,111.2,117.3,122,129.4,136.4,141.2,144.6,149.2,155.3,162.2,173.3,185.6,198.9,208.2,218.9,222.9,227.8,232.6,237.7,247.7
Eritrea,..,..,1.2,1.3,1.6,1.7,1.8,2,2,2,1.9,2.1,2.2,2.1,2.1,2.2,2.2,2.2,2,2.1,2.1,2.3,2.5,2.5,2.7,2.8
Ethiopia,10,9.3,8.5,9.6,9.9,10.5,11.8,12.1,11.7,12.3,13.1,14.2,14.4,14.1,16,17.9,19.8,22.1,24.4,26.6,29.9,33.3,36.2,40,44.1,48.3
Gabon,10.6,11.2,10.9,11.3,11.7,12.3,12.8,13.5,14,12.7,12.5,12.7,12.7,13,13.1,13.6,13.1,13.8,13.4,13.4,14.4,15.4,16.2,17.1,17.8,18.6
Ghana,12,12.7,13.2,13.8,14.3,14.9,15.5,16.2,17,17.7,18.4,19.1,19.9,21,22.2,23.5,25,26.1,28.4,29.8,32.2,36.7,40.1,43,44.8,46.5
Kenya,21.8,22.1,21.9,22,22.6,23.6,24.5,24.6,25.5,26,26.2,27.2,27.3,28.1,29.6,31.3,33.4,35.6,35.7,36.9,40,42.4,44.4,46.9,49.4,52.2
Libya,46.9,54.3,52.8,50.8,51.8,45.4,46.6,46.3,46.1,46.3,48,47.2,46.7,52.8,55.2,61.7,65.7,69.9,71.8,71.2,74.8,28.4,58,50.1,38.1,34.2
Mauritius,3.9,4.1,4.4,4.6,4.8,5,5.3,5.6,5.9,6.1,6.6,6.8,6.9,7.2,7.6,7.7,8.3,8.8,9.3,9.6,10,10.4,10.8,11.1,11.6,12
Morocco,43.2,46.3,45.3,45,49.8,47.1,52.9,52.1,55.8,56.4,57.5,61.7,63.7,67.5,70.7,73,78.5,81.3,86.1,89.8,93.2,98.1,101.1,105.6,108.3,113.2
Mozambique,2.3,2.4,2.3,2.5,2.6,2.7,3.4,3.8,4.2,4.6,4.6,5.2,5.7,6.1,6.5,7.1,7.8,8.4,8.9,9.5,10.2,10.9,11.7,12.5,13.4,14.3
Namibia,..,5.4,5.8,5.7,5.8,6,6.2,6.4,6.7,6.9,7.1,7.2,7.5,7.9,8.8,9.1,9.7,10.3,10.6,10.6,11.3,11.9,12.5,13.2,14,14.8
Niger,..,..,..,..,..,..,..,..,..,..,3.7,3.9,4,4.2,4.3,4.4,4.7,4.9,5.3,5.3,5.7,5.9,6.5,6.9,7.4,7.6
Nigeria,130.3,129.5,130,132.7,133.9,133.5,140.2,144.1,148,148.7,156.6,163.6,169.7,187.3,250.5,259.2,280.4,299.6,318.4,340.4,367.1,385.1,401.5,423.2,449.9,461.8
Senegal,6.4,6.5,6.6,6.7,6.7,7.1,7.2,7.4,7.9,8.4,8.6,9,9.1,9.7,10.3,10.9,11.1,11.7,12.1,12.4,12.9,13.1,13.7,14.2,14.8,15.8
South Africa,223,220.8,216.1,218.7,225.7,232.7,242.7,249,250.3,256.3,267,274.3,284.4,292.8,306.1,322.3,340.3,358.5,370,364.3,375.3,387.7,396.3,405.5,412.1,417.3
South Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.2,5.9,6.1,4.1
Sudan,19.8,21.3,22.7,23.7,24,25.4,26.9,29.8,31.1,32,34.1,36.3,38.6,41.6,43.2,46.4,51.1,57,61.4,63.4,65.6,64.3,64.7,67.5,69.3,72.7
United Rep. of Tanzania,12.2,12.5,12.6,12.7,12.9,13.4,14,14.5,15,15.7,16.5,17.5,18.8,20,21.6,23.4,24.5,26.5,28,29.5,31.4,33.9,35.6,38.2,40.9,43.7
Togo,2.1,2.1,2,1.7,1.9,2.1,2.3,2.6,2.5,2.6,2.6,2.5,2.5,2.6,2.7,2.7,2.8,2.9,2.9,3.1,3.2,3.3,3.5,3.6,3.8,4
Tunisia,18.3,19.1,20.5,21,21.7,22.2,23.8,25,26.2,27.8,29.1,30.2,30.6,32.1,34.1,35.3,37.1,39.6,41.3,42.6,44.1,43.2,44.9,46.3,47.6,48.1
Zambia,8.4,8.4,8.2,8.8,8,8.3,8.8,9.1,9.1,9.5,9.9,10.4,10.9,11.6,12.5,13.4,14.4,15.6,16.8,18.4,20.3,21.4,23,24.2,25.3,26.1
